"geographic_area", "population_size"
"Ripley County, Indiana","28,985"
"Rush County, Indiana","16,769"
"St. Joseph County, Indiana","272,688"
"Scott County, Indiana","24,376"
"Shelby County, Indiana","45,066"
"Spencer County, Indiana","19,833"
"Starke County, Indiana","23,399"
"Steuben County, Indiana","34,447"
"Sullivan County, Indiana","20,819"
"Switzerland County, Indiana","9,742"
"Tippecanoe County, Indiana","186,391"
"Tipton County, Indiana","15,388"
"Union County, Indiana","7,079"
"Vanderburgh County, Indiana","180,345"
"Vermillion County, Indiana","15,400"
"Vigo County, Indiana","106,133"
"Wabash County, Indiana","30,926"
"Warren County, Indiana","8,425"
"Warrick County, Indiana","63,994"
"Washington County, Indiana","28,233"
"Wayne County, Indiana","66,514"
"Wells County, Indiana","28,160"
"White County, Indiana","24,674"
"Whitley County, Indiana","34,340"
"Adair County, Iowa","7,489"
"Adams County, Iowa","3,710"
"Allamakee County, Iowa","14,069"
"Appanoose County, Iowa","12,283"
"Audubon County, Iowa","5,680"
"Benton County, Iowa","25,550"
"Black Hawk County, Iowa","131,049"
"Boone County, Iowa","26,702"
"Bremer County, Iowa","25,007"
"Buchanan County, Iowa","20,606"
"Buena Vista County, Iowa","20,808"
"Butler County, Iowa","14,334"
"Calhoun County, Iowa","9,895"
"Carroll County, Iowa","20,734"
"Cass County, Iowa","13,115"
"Cedar County, Iowa","18,483"
"Cerro Gordo County, Iowa","43,021"
"Cherokee County, Iowa","11,658"
"Chickasaw County, Iowa","11,985"
"Clarke County, Iowa","9,730"
"Clay County, Iowa","16,337"
